IDParametresMailing,Corps de métier,Problématiques du métier (mots clés en phrase),Téléchargement brochure,Brochure,Lien à Récupérer
ed160a0c,Plomberie,"entre chantiers, devis, clients et équipes",,Brochure/Plomberie ed160a0c.pdf,https://levraiartisan.fr/page-de-recherche/?post%5B0%5D=artisan&tax%5Blocal_business_category%5D%5B0%5D=16&address%5B0%5D=Loire-Atlantique&distance=250&units=metric&per_page=150&lat=47.278047&lng=-1.815765&country&form=1&action=fs
169f527c,Menuiserie,"entre chantiers, devis, clients et équipes",,Brochure/Menuiserie 169f527c.pdf,
1a7b118b,Maçonnerie,"entre chantiers, devis, clients et équipes",,Brochure/Maçonnerie 1a7b118b.pdf,
9f4fb228,Plaquiste,"entre chantiers, devis, clients et équipes",,,
79ad3d5c,Travaux Publics,"entre chantiers, devis, clients et équipes",,Brochure/Travaux Publics 79ad3d5c.pdf,
